sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
462,2-2/63,2-2,2,1.5322191204703017e-07,3.6972700669328876e-08,4.720937938703454e-08,1e-05,1
463,2-2/64,2-2,2,1.2919233360886295e-07,2.7117057341518694e-08,3.465621600297081e-08,1e-05,1
464,2-2/65,2-2,2,1.544302161704536e-07,3.299873384917367e-08,4.270253391216634e-08,1e-05,1
465,2-2/66,2-2,2,1.785310010937735e-07,3.532890746134417e-08,4.5753571971452114e-08,1e-05,1
466,2-2/67,2-2,2,1.3015439015440222e-07,3.373416210672329e-08,4.3236932782793224e-08,1e-05,1
467,2-2/68,2-2,2,1.3529074105456118e-07,3.2975857224542764e-08,4.2439686099481565e-08,1e-05,1
468,2-2/69,2-2,2,1.6039676864476604e-07,2.9905684027520704e-08,3.907830119231971e-08,1e-05,1
469,2-2/70,2-2,2,1.639127727992573e-07,3.3094488098941034e-08,4.248203752155639e-08,1e-05,1
470,2-2/71,2-2,2,1.8827945136301594e-07,3.6745941215286144e-08,4.7288936104294684e-08,1e-05,1
471,2-2/72,2-2,2,1.5367097183638379e-07,3.601854033723461e-08,4.6098739445262265e-08,1e-05,1
472,2-2/73,2-2,2,1.180685308410645e-07,2.890346560503941e-08,3.699147788003036e-08,1e-05,1
473,2-2/74,2-2,2,1.515140972685458e-07,3.6632940154821505e-08,4.733978485213365e-08,1e-05,1
474,2-2/75,2-2,2,1.7895190818073559e-07,3.359677552048878e-08,4.206493780429e-08,1e-05,1
475,2-2/76,2-2,2,1.239398171870576e-07,2.990610433614988e-08,3.781820913533713e-08,1e-05,1
476,2-2/77,2-2,2,1.3060039960599568e-07,3.2791339879687025e-08,4.191438060544354e-08,1e-05,1
477,2-2/78,2-2,2,1.766543454850833e-07,3.3150602866110706e-08,4.303579554217001e-08,1e-05,1
478,2-2/79,2-2,2,1.2365098167599342e-07,3.093942778959706e-08,3.9458881778129776e-08,1e-05,1
479,2-2/80,2-2,2,1.3668949805367703e-07,3.440081899585432e-08,4.378563023036713e-08,1e-05,1
480,3-1/1,3-1,3,1.0234388403418393e-07,2.4499312912557365e-08,3.105495154935437e-08,1e-05,1
481,3-1/2,3-1,3,1.0293474905775923e-07,2.6636193487114602e-08,3.317933103440464e-08,1e-05,1
482,3-1/3,3-1,3,1.379769324350022e-07,3.2857450538301196e-08,4.1937847051505336e-08,1e-05,1
483,3-1/4,3-1,3,1.5424844135303317e-07,3.170455951854689e-08,4.0486143566987224e-08,1e-05,1
484,3-1/5,3-1,3,1.1962321100345008e-07,2.4255919806434204e-08,3.131395216812993e-08,1e-05,1
485,3-1/6,3-1,3,9.991530036668195e-08,2.8991301608815907e-08,3.682545178390771e-08,1e-05,1
486,3-1/7,3-1,3,9.178383997276995e-08,2.3647454395441566e-08,3.011461917245981e-08,1e-05,1
487,3-1/8,3-1,3,1.3542175270053747e-07,2.8899433641217635e-08,3.84857559673912e-08,1e-05,1
488,3-1/9,3-1,3,1.3756661354502597e-07,3.054307325112138e-08,3.927591386850069e-08,1e-05,1
489,3-1/10,3-1,3,1.1696390944671009e-07,2.491932289357549e-08,3.1785851548944933e-08,1e-05,1
490,3-1/11,3-1,3,1.0494674951289085e-07,2.441205541215419e-08,3.14528224637001e-08,1e-05,1
491,3-1/12,3-1,3,1.0448343590319098e-07,2.9582591377380958e-08,3.755382842637648e-08,1e-05,1
492,3-1/13,3-1,3,8.895541714348809e-08,2.3758804907019296e-08,3.0261590571053756e-08,1e-05,1
493,3-1/14,3-1,3,1.2850930497521063e-07,3.3833470441238236e-08,4.318255195913025e-08,1e-05,1
494,3-1/15,3-1,3,1.1742906269596176e-07,2.7227771382203428e-08,3.544217756926973e-08,1e-05,1
495,3-1/16,3-1,3,1.2193927279025019e-07,2.8913075458202072e-08,3.720959571382494e-08,1e-05,1
496,3-1/17,3-1,3,1.360488136592508e-07,2.8337038456656955e-08,3.6835218495531435e-08,1e-05,1
