model_id,role,view,classifier,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,equal_constructed_batch_accuracy,fold_balanced_accuracy_min,fold_balanced_accuracy_max,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,errors,same_oof_selected,late_spectral_weight,late_mat_weight
late_w0.50__morphology__logistic_regression,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_logistic_regression,1012,0.9792490118577075,0.9794836771514162,0.9793112617523005,0.6086055826553692,0.2510637481964246,0.41789659473730606,0.9792525934258218,0.9692095588235294,0.9921875,0.9795250131302522,0.008227159947632925,21,0,0.5,0.5
late_w0.75__morphology__logistic_regression,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_logistic_regression,1012,0.9802371541501976,0.9804602396514162,0.9804558116334197,0.32103334904230685,0.10158962959541941,0.23230625032529087,0.9802368453943258,0.9692095588235294,0.9848345588235294,0.9805015756302522,0.006983763732653458,20,0,0.75,0.25
late_w0.25__morphology__rbf_svm,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_rbf_svm,1012,0.9693675889328063,0.9698329418572985,0.9689928214754517,1.0522720207436613,0.4932458048352525,0.6089125452600963,0.9693710161229847,0.9540441176470589,0.984375,0.9698742778361344,0.009580164547454521,31,0,0.25,0.75
late_w0.50__morphology__rbf_svm,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_rbf_svm,1012,0.9812252964426877,0.9814368021514162,0.9813536440041621,0.621617076678473,0.2521858744551158,0.4287700795940204,0.9812210973628297,0.9692095588235294,0.9921875,0.9814781381302522,0.008065258020943383,19,0,0.5,0.5
late_w0.75__morphology__rbf_svm,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_rbf_svm,1012,0.9822134387351779,0.9824133646514162,0.9823958626309626,0.3267568334729305,0.10203376915237426,0.23753954733176097,0.9822053493313336,0.9692095588235294,0.9921875,0.9824547006302522,0.008755156203003003,18,0,0.75,0.25
late_w0.25__morphology__extra_trees,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_extra_trees,1012,0.9219367588932806,0.9235898352396514,0.9217067545914894,1.0383115906328741,0.4989149007230723,0.5457357759356192,0.9219472565929259,0.8920036764705882,0.9618566176470589,0.9236311712184875,0.02516392347196138,79,0,0.25,0.75
late_w0.50__morphology__extra_trees,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_extra_trees,1012,0.9792490118577075,0.9795411220043573,0.979416450811671,0.6126558348473189,0.2544916911985826,0.4206214909449483,0.9792525934258218,0.9618566176470589,0.9848345588235294,0.9795824579831933,0.00890246585224995,21,0,0.5,0.5
late_w0.75__morphology__extra_trees,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_extra_trees,1012,0.9802371541501976,0.9806985294117647,0.9805630159187521,0.32306048850191577,0.1024498872665678,0.23179468926832217,0.9802368453943258,0.9618566176470589,0.9921875,0.9806985294117647,0.009929631071719852,20,0,0.75,0.25
late_w0.25__foreground_std__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_shrinkage_lda,1012,0.8764822134387352,0.878487115332244,0.8758482848141471,0.6097326094917418,0.30604137222234645,0.269029219729514,0.8765154355705537,0.8290441176470589,0.9223345588235294,0.8784839356415644,0.0312543945015778,125,0,0.25,0.75
late_w0.50__foreground_std__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_shrinkage_lda,1012,0.9703557312252964,0.9707520595043573,0.9707340245358203,0.39303596017721576,0.1666388842761343,0.26154757150451496,0.9703708911386077,0.9540441176470589,0.984375,0.9707933954831933,0.009622809853540942,30,0,0.5,0.5
late_w0.75__foreground_std__shrinkage_lda,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_shrinkage_lda,1012,0.9772727272727273,0.9775879970043573,0.9775890304320276,0.2316509614628481,0.07888825651102808,0.15448236168287213,0.9772762779652544,0.9613970588235294,0.9848345588235294,0.9776293329831933,0.010236650557715768,23,0,0.75,0.25
late_w0.25__foreground_std__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_logistic_regression,1012,0.8893280632411067,0.8910100932734204,0.8887454466342476,0.6251372814001955,0.30955605712949075,0.29760714837684993,0.8893732033495813,0.8524816176470589,0.9227941176470589,0.8910069135827408,0.026555187156640576,112,0,0.25,0.75
late_w0.50__foreground_std__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_logistic_regression,1012,0.9723320158102767,0.9727051845043573,0.972600134870566,0.40265647899006013,0.16826309338883386,0.2729291741664582,0.9723393950756156,0.9540441176470589,0.984375,0.9727465204831933,0.009878306090221061,28,0,0.5,0.5
late_w0.75__foreground_std__logistic_regression,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_logistic_regression,1012,0.9762845849802372,0.9766114345043573,0.9765297137183959,0.23609309316755048,0.07934090398801288,0.1578745162279114,0.9762842144731909,0.9613970588235294,0.9848345588235294,0.9766527704831933,0.009867173694822812,24,0,0.75,0.25
late_w0.25__foreground_std__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_rbf_svm,1012,0.9140316205533597,0.9147752416938998,0.9142042050066485,0.7970554435420248,0.3957064041567443,0.4266696610719307,0.9141279215098113,0.8607536764705882,0.9535845588235294,0.9149405856092437,0.03203154799839889,87,0,0.25,0.75
late_w0.50__foreground_std__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_rbf_svm,1012,0.9733201581027668,0.9736817470043573,0.9736875792769397,0.49601444556024665,0.20842532259505248,0.3400927617122762,0.9733314585676791,0.9462316176470589,0.9848345588235294,0.9737230829831933,0.013507657106438855,27,0,0.5,0.5
late_w0.75__foreground_std__rbf_svm,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_rbf_svm,1012,0.9772727272727273,0.9775879970043573,0.9774821472996105,0.2766039516102293,0.09078635085181365,0.19159279574822127,0.9772762779652544,0.9540441176470589,0.9848345588235294,0.9776293329831933,0.011009170257872883,23,0,0.75,0.25
late_w0.25__foreground_std__extra_trees,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_extra_trees,1012,0.7905138339920948,0.7921113323801743,0.7919166816368048,0.82225882874719,0.4260388506399538,0.29085983890067957,0.7905105611798524,0.7156391402714932,0.8428662330316742,0.7920477385665805,0.03723565873166981,212,0,0.25,0.75
late_w0.50__foreground_std__extra_trees,same_oof_late_fusion_exploratory_only,foreground_std,spectral_ensemble_plus_extra_trees,1012,0.9733201581027668,0.9736243021514162,0.9737317751646168,0.5036005703067112,0.2215839253690417,0.3423779277680703,0.9733314585676791,0.9613970588235294,0.984375,0.9736656381302522,0.010621741966390165,27,0,0.5,0.5
