model_id,role,view,classifier,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,1,127,0.984251968503937,0.9832589285714286,0.9839788049465469,0.5292685591579751,0.22717697325645514,0.38760433103282593,2
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,2,127,0.968503937007874,0.9692095588235294,0.9692095588235294,0.5393132817743332,0.2313146481544255,0.35914758854466194,4
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,3,127,0.9921259842519685,0.9921875,0.9923963133640553,0.5234454963884015,0.22022015171552237,0.38491875553181487,1
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,4,126,0.9841269841269841,0.984375,0.9847222222222223,0.5158532955468709,0.21780921033306702,0.3712163775348204,2
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,5,126,0.9761904761904762,0.9770220588235294,0.9765151515151516,0.5221102286056952,0.22056492096720368,0.3704452891582883,3
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,6,126,0.9682539682539683,0.9692095588235294,0.9676262917190337,0.5386866224791086,0.22249102754565953,0.3440999429158207,4
late_w0.50__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,7,126,0.9920634920634921,0.9921875,0.9923963133640553,0.5195103049496164,0.2165278478134152,0.38686511594450856,1
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,0,127,0.984251968503937,0.9848345588235294,0.9848345588235294,0.2852353211293166,0.0934155355886954,0.21126685316337374,2
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,1,127,0.984251968503937,0.9832589285714286,0.9839788049465469,0.27698516663497014,0.08718189639936845,0.22281210731858297,2
late_w0.75__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,2,127,0.968503937007874,0.9692095588235294,0.9692095588235294,0.3156604659305251,0.11265895498942813,0.19839075944607723,4
