direction,model,condition,calibration,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,nll_mean,nll_sd,nll_min,nll_max,brier_mean,brier_sd,brier_min,brier_max,ece_10_mean,ece_10_sd,ece_10_min,ece_10_max
suffix_1_to_2,spectral_only,mean_broadcast,raw,3,0.2719869706840391,0.21916886734596366,0.13029315960912052,0.5244299674267101,0.27548225308641977,0.22241662332993573,0.125,0.5309606481481481,0.2030362426162974,0.2541160274814388,0.02881844380403458,0.4946227064536025,1.8143588672280373,0.4580043776189825,1.2855022318312488,2.0797893404745964,0.7940497714803056,0.13993272122767664,0.6324696332847017,0.87508616495735,0.0647619806878443,0.08289930003403116,0.0013881517827156742,0.15857869719674814
suffix_1_to_2,spectral_only,mean_broadcast,temperature_scaled,3,0.2719869706840391,0.21916886734596366,0.13029315960912052,0.5244299674267101,0.27548225308641977,0.22241662332993573,0.125,0.5309606481481481,0.2030362426162974,0.2541160274814388,0.02881844380403458,0.4946227064536025,1.787493527415539,0.5049165457787613,1.2044681571746563,2.080340919532781,0.7825838252346404,0.15988594250929078,0.5979638276929974,0.8752209216621719,0.03717343078739259,0.03783118812007674,0.002047532554026482,0.07722698348759562
suffix_1_to_2,spectral_only,spatial_shuffle,raw,3,0.2719869706840391,0.21916886734596366,0.13029315960912052,0.5244299674267101,0.27548225308641977,0.22241662332993573,0.125,0.5309606481481481,0.2030362426162974,0.2541160274814388,0.02881844380403458,0.4946227064536025,1.8143588672280373,0.4580043776189825,1.2855022318312488,2.0797893404745964,0.7940497714803056,0.13993272122767664,0.6324696332847017,0.87508616495735,0.0647619806878443,0.08289930003403116,0.0013881517827156742,0.15857869719674814
suffix_1_to_2,spectral_only,spatial_shuffle,temperature_scaled,3,0.2719869706840391,0.21916886734596366,0.13029315960912052,0.5244299674267101,0.27548225308641977,0.22241662332993573,0.125,0.5309606481481481,0.2030362426162974,0.2541160274814388,0.02881844380403458,0.4946227064536025,1.787493527415539,0.5049165457787613,1.2044681571746563,2.080340919532781,0.7825838252346404,0.15988594250929078,0.5979638276929974,0.8752209216621719,0.03717343078739259,0.03783118812007674,0.002047532554026482,0.07722698348759562
suffix_2_to_1,fusion_net,full,raw,3,0.42717948717948717,0.019112456567778678,0.4153846153846154,0.4492307692307692,0.42812500000000003,0.016238904390934148,0.41857638888888893,0.44687499999999997,0.42441004019942596,0.025595458234168075,0.407270044902608,0.45383172610408495,1.4843990241746436,0.06329959732588103,1.4123578836657893,1.531115134492869,0.6964810487419572,0.025263544999864548,0.667426445134954,0.7132709183102158,0.07845469858160094,0.03287381502710359,0.05135124145214249,0.11502250138065448
suffix_2_to_1,fusion_net,full,temperature_scaled,3,0.42717948717948717,0.019112456567778678,0.4153846153846154,0.4492307692307692,0.42812500000000003,0.016238904390934148,0.41857638888888893,0.44687499999999997,0.42441004019942596,0.025595458234168075,0.407270044902608,0.45383172610408495,1.4644157975673646,0.054967715004302316,1.4124029296837741,1.5219253404618858,0.6878692391268862,0.0198273347898584,0.666903478848619,0.7063177251334227,0.04521033123118593,0.013430130562205864,0.0334731591612306,0.05985658784371955
suffix_2_to_1,fusion_net,mask_only,raw,3,0.17794871794871794,0.019480430680228287,0.15692307692307692,0.19538461538461538,0.17355324074074074,0.022769766262709764,0.14878472222222222,0.19357638888888887,0.12440640046158025,0.04243690112716594,0.0780978322135163,0.16143612898886145,2.8757034450878916,0.1320545018244994,2.7236601564977425,2.9617510680452317,0.9840642426813871,0.0061923484664356205,0.9793826879853882,0.9910855609971644,0.26554743493322475,0.024647443658098227,0.24499026229769877,0.29287150360861003
suffix_2_to_1,fusion_net,mask_only,temperature_scaled,3,0.17794871794871794,0.019480430680228287,0.15692307692307692,0.19538461538461538,0.17355324074074074,0.022769766262709764,0.14878472222222222,0.19357638888888887,0.12440640046158025,0.04243690112716594,0.0780978322135163,0.16143612898886145,2.719204483613769,0.20893165290545573,2.482560352880154,2.8781726081721457,0.9676368024865729,0.03910110474600507,0.926220278967963,1.0039142670861771,0.24184936430147608,0.06449892884669126,0.18271675805263357,0.31062807593436637
suffix_2_to_1,fusion_net,mean_broadcast,raw,3,0.20974358974358975,0.03264778265107079,0.18307692307692308,0.24615384615384617,0.20653935185185182,0.033417019755839085,0.17864583333333334,0.24357638888888888,0.15660859606845182,0.030109781371635197,0.12785396212528913,0.1879115505271031,2.730495091535975,0.2938877488956391,2.393568414955786,2.934034346170729,0.9555902216083659,0.04359369029022001,0.9053698500746945,0.9836745535358041,0.2369627933991645,0.02179429998483036,0.21309755421131032,0.255811284645216
suffix_2_to_1,fusion_net,mean_broadcast,temperature_scaled,3,0.20974358974358975,0.03264778265107079,0.18307692307692308,0.24615384615384617,0.20653935185185182,0.033417019755839085,0.17864583333333334,0.24357638888888888,0.15660859606845182,0.030109781371635197,0.12785396212528913,0.1879115505271031,2.5792602137643654,0.23650011985478406,2.435597966085888,2.852221085864032,0.9373770227714026,0.032532604822010106,0.914624897315562,0.9746398768597125,0.21128432527450391,0.03201477229113694,0.1743230506592559,0.2303512892534608
