run_id,direction,train_suffix,test_suffix,model,seed,condition,n_train,n_validation,training_seconds,evaluation_seconds,parameter_count,calibration,n,n_correct,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,nll,brier,ece_10
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,mask_only,520,130,18.793294700000843,8.157561500003794,79624,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077469901255276,0.8745184904185332,0.0006839006212610299
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,mean_broadcast,520,130,18.793294700000843,8.508724899998924,79624,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077785029378267,0.8745935161988653,0.0013881517827156742
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,mean_broadcast,520,130,18.793294700000843,8.508724899998924,79624,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077671505539179,0.874566726348752,0.002047532554026482
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,full,520,130,88.57314909999695,10.296157699995092,209000,raw,614,172,0.28013029315960913,0.3018518518518518,0.22174908568110535,0.3018518518518518,0.2261881771077509,1.9327534489547684,0.8364190724624323,0.06869136933576192
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,full,520,130,88.57314909999695,10.296157699995092,209000,temperature_scaled,614,172,0.28013029315960913,0.3018518518518518,0.22174908568110535,0.3018518518518518,0.2261881771077509,1.8986013225605443,0.8268984228214513,0.04195634945903018
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,spatial_shuffle,520,130,88.57314909999695,10.394341700004588,209000,raw,614,165,0.2687296416938111,0.290162037037037,0.2503658607819619,0.290162037037037,0.22678460989167426,1.9781735973591943,0.8547688116485045,0.09228467476283922
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,spatial_shuffle,520,130,88.57314909999695,10.394341700004588,209000,temperature_scaled,614,165,0.2687296416938111,0.290162037037037,0.2503658607819619,0.290162037037037,0.22678460989167426,1.9286036679159175,0.8370529333607811,0.04747594807099035
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,mask_only,520,130,88.57314909999695,10.44320449999941,209000,raw,614,159,0.25895765472312704,0.2800347222222222,0.2288449451223418,0.2800347222222222,0.21934947185919818,1.9854723388121815,0.8560347478710788,0.08012311081538234
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,mask_only,520,130,88.57314909999695,10.44320449999941,209000,temperature_scaled,614,159,0.25895765472312704,0.2800347222222222,0.2288449451223418,0.2800347222222222,0.21934947185919818,1.9286034977989082,0.8374144199198795,0.03535032190196268
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,mean_broadcast,520,130,88.57314909999695,10.38917660000152,209000,raw,614,160,0.26058631921824105,0.2815972222222222,0.23372915410814177,0.2815972222222222,0.21851523730620376,1.9781200410002733,0.8557611706791898,0.07753042263670855
suffix_1_to_2__fusion_net__seed_42,suffix_1_to_2,1,2,fusion_net,42,mean_broadcast,520,130,88.57314909999695,10.38917660000152,209000,temperature_scaled,614,160,0.26058631921824105,0.2815972222222222,0.23372915410814177,0.2815972222222222,0.21851523730620376,1.928117112491031,0.8372591560743544,0.04505934667518007
