representation,classifier,calibration,direction,temperature_dir1,temperature_dir2,balanced_accuracy,accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error
sg1,lda,shift_aware_temperature,pooled_two_directions,1.8592707100168115,2.1928879252196896,0.9361213235294118,0.9347826086956522,0.9353603830264797,0.17875624113959868,0.09308523272353533,0.009533011554888449
sg1,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.895088677832244,0.8932806324110671,0.8928464697196543,0.36698837945795104,0.16570365429593994,0.025813186857301135
sg1,lr,iid_temperature,pooled_two_directions,1.0571649518373711,0.7732852939053811,0.895088677832244,0.8932806324110671,0.8928464697196543,0.38456143723293323,0.16809749320757902,0.0360754485042806
sg1,lr,shift_aware_temperature,pooled_two_directions,1.0756905862201822,0.7404201383707243,0.895088677832244,0.8932806324110671,0.8928464697196543,0.3887438409674975,0.16862397857822825,0.03607131722526212
sg1,svm,uncalibrated,pooled_two_directions,1.0,1.0,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.6318059762450504,0.3061109665768392,0.21233497532781917
sg1,svm,iid_temperature,pooled_two_directions,0.4632055070611421,0.46724646008605175,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.5544322257024834,0.2402677050217236,0.025895883040219607
sg1,svm,shift_aware_temperature,pooled_two_directions,0.4473881649590467,0.42837386099952657,0.8654471337145969,0.8636363636363636,0.8607984890627327,0.5674779734536459,0.24113540603463146,0.03919262320860562
sg2,lda,uncalibrated,pooled_two_directions,1.0,1.0,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.5242955165891656,0.16724340881274796,0.07701362940848464
sg2,lda,iid_temperature,pooled_two_directions,2.231315835523086,3.130984879680426,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.2694493273644649,0.1431702656721452,0.04261791563738701
sg2,lda,shift_aware_temperature,pooled_two_directions,2.476445165726064,3.356289513301106,0.9057542721949892,0.9051383399209486,0.9063327581559868,0.25703359977573287,0.1411461895006867,0.036140869435015294
sg2,lr,uncalibrated,pooled_two_directions,1.0,1.0,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.4577114047141642,0.220564220251105,0.057739931069252466
sg2,lr,iid_temperature,pooled_two_directions,0.9361177424536046,1.038958367498952,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.46770209026993276,0.22180773349531377,0.059457773042922955
sg2,lr,shift_aware_temperature,pooled_two_directions,0.9041515970721004,1.038958367498952,0.8551474843409586,0.8527667984189723,0.8502524268096029,0.4744111583945538,0.22265466276431717,0.06101067962745367
