protocol,protocol_zh,model,n_test_seeds,n_correct,accuracy,accuracy_wilson_low,accuracy_wilson_high,accuracy_bootstrap_low,accuracy_bootstrap_high,balanced_accuracy,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,macro_f1,macro_f1_bootstrap_low,macro_f1_bootstrap_high,interval_scope
suffix_1_to_2,采集立方体后缀 1→2,snv_lr,614,512,0.8338762214983714,0.802379155548751,0.8612215046960118,0.8029315960912052,0.8631921824104235,0.8398726851851852,0.8167963401827345,0.8600731379668635,0.8229070215352943,0.7946598138650862,0.8481138522222802,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,msc_lr,614,502,0.8175895765472313,0.7850999563955573,0.8461299399348269,0.7850162866449512,0.8469055374592834,0.8242476851851852,0.8027663858050108,0.846426518066025,0.8059608955433251,0.7764700005248817,0.8330741356656849,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,sg_smooth_lr,614,488,0.7947882736156352,0.7610580680452538,0.8248527588050002,0.7638436482084691,0.8257328990228013,0.8016203703703704,0.773164041253195,0.8298053620935766,0.7977404755988906,0.7663978258943204,0.8266772208839778,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,sg_first_derivative_lr,614,519,0.8452768729641694,0.8145335298622607,0.8717266651225672,0.8175895765472313,0.8745928338762216,0.8508101851851853,0.8279535351173354,0.873518852226892,0.8377071195635066,0.8088515680929732,0.8645350777629309,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,raw_lr,650,525,0.8076923076923077,0.775621729126786,0.8361473696413817,0.7769230769230769,0.8384615384615385,0.8064236111111112,0.7770695119780309,0.833788836830397,0.8010827251556792,0.7696220039316632,0.8301194908479067,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,raw_svm,650,442,0.68,0.6431714526886719,0.7147134700907062,0.6430769230769231,0.7169230769230769,0.6789930555555556,0.6448133652949055,0.7134624481690645,0.6715877713544923,0.6357604920678932,0.7063295092406464,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,raw_pls_da,650,584,0.8984615384615384,0.872851049395169,0.919389933509608,0.8753846153846154,0.9200384615384614,0.8973958333333334,0.8755828719886242,0.9193773043048268,0.8966285420406421,0.8730494405630554,0.9185546515409149,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,raw_rf,650,410,0.6307692307692307,0.5930019569928503,0.6669999099836209,0.5938461538461538,0.6661538461538462,0.6296875,0.5967286059220219,0.6619910692582968,0.6217882377415149,0.5856687107310391,0.6534143382286646,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,snv_lr,650,575,0.8846153846153846,0.8577631006785491,0.9069482727816602,0.86,0.9092307692307692,0.8831597222222222,0.8602050698384291,0.9058401755381278,0.8805867599663894,0.8553268798931812,0.9046856997033779,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,msc_lr,650,562,0.8646153846153846,0.8361612949048752,0.8887850871354032,0.8369230769230769,0.8892307692307693,0.8640625,0.8395890034421456,0.8885087804062974,0.8619885337019828,0.8349605166843439,0.8861901546349265,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,sg_smooth_lr,650,526,0.8092307692307692,0.7772428798001477,0.8375850644618607,0.78,0.84,0.8079861111111111,0.7809334869525606,0.8356883484724954,0.8031149376247442,0.7734906196724889,0.831530745843016,descriptive_seed_level_only
suffix_2_to_1,采集立方体后缀 2→1,sg_first_derivative_lr,650,544,0.8369230769230769,0.8065572404230674,0.863329922728076,0.8092307692307692,0.8646153846153846,0.8375,0.8131183007895335,0.8627104992341944,0.8328312806134583,0.805143347591351,0.8598404259042013,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,raw_lr,1264,887,0.7017405063291139,0.6759392045115199,0.7263192927570469,0.6764240506329114,0.7270569620253164,0.7058734361281827,0.6837529640630512,0.7281372519225082,0.7000902060407884,0.6760349894979294,0.7226295957427393,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,raw_svm,1264,644,0.509493670886076,0.48194749559963224,0.5369823160365358,0.4810126582278481,0.5371835443037974,0.5161634383230904,0.49225065283750175,0.5389548173793007,0.5078476154412102,0.48366787860432897,0.5297102021763369,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,raw_pls_da,1264,785,0.6210443037974683,0.5939713499850273,0.6473837483761128,0.5941455696202531,0.6471518987341772,0.6224065792361722,0.5978835997126493,0.6469470323424967,0.6139419703477286,0.5871667565702421,0.6383206664496117,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,raw_rf,1264,599,0.47389240506329117,0.4464865828101141,0.5014564351904244,0.4462025316455696,0.502373417721519,0.47860033472344166,0.45466208789423124,0.505407763592166,0.4732480308500129,0.4483422772610873,0.499090752467843,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,snv_lr,1264,999,0.7903481012658228,0.7670445957528924,0.8118921434532411,0.7689873417721519,0.8117286392405062,0.7935387401229148,0.7755715818804059,0.8123591340147986,0.7791681237903421,0.7579927931617099,0.8000173255780498,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,msc_lr,1264,940,0.7436708860759493,0.7188884114542169,0.7669767538740913,0.7191455696202531,0.7681962025316456,0.7487180366549605,0.7291830341162179,0.7681877999458174,0.7326787309388871,0.7104912504930697,0.7551833786868524,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,sg_smooth_lr,1264,888,0.7025316455696202,0.6767471309911203,0.7270888505804606,0.678006329113924,0.7286392405063291,0.7066546861281826,0.6849702016021785,0.7284795190751825,0.700670064811656,0.6784368912523283,0.7226574632681011,descriptive_seed_level_only
leave_one_cube_out,留一采集立方体（16 折汇总）,sg_first_derivative_lr,1264,973,0.7697784810126582,0.7457742376217871,0.7921479097059827,0.7468354430379747,0.7935126582278481,0.7746831101843722,0.7565088100335481,0.7942817314583701,0.7606068272413655,0.7392684514351303,0.7823239332703039,descriptive_seed_level_only
