protocol,model,actual_label,predicted_label,count
random_seed_holdout,snv_lr,0,7,0
random_seed_holdout,snv_lr,1,0,0
random_seed_holdout,snv_lr,1,1,37
random_seed_holdout,snv_lr,1,2,1
random_seed_holdout,snv_lr,1,3,0
random_seed_holdout,snv_lr,1,4,0
random_seed_holdout,snv_lr,1,5,0
random_seed_holdout,snv_lr,1,6,2
random_seed_holdout,snv_lr,1,7,0
random_seed_holdout,snv_lr,2,0,0
random_seed_holdout,snv_lr,2,1,0
random_seed_holdout,snv_lr,2,2,36
random_seed_holdout,snv_lr,2,3,0
random_seed_holdout,snv_lr,2,4,4
random_seed_holdout,snv_lr,2,5,0
random_seed_holdout,snv_lr,2,6,0
random_seed_holdout,snv_lr,2,7,0
random_seed_holdout,snv_lr,3,0,0
random_seed_holdout,snv_lr,3,1,0
random_seed_holdout,snv_lr,3,2,0
random_seed_holdout,snv_lr,3,3,40
random_seed_holdout,snv_lr,3,4,0
random_seed_holdout,snv_lr,3,5,0
random_seed_holdout,snv_lr,3,6,0
random_seed_holdout,snv_lr,3,7,0
random_seed_holdout,snv_lr,4,0,0
random_seed_holdout,snv_lr,4,1,0
random_seed_holdout,snv_lr,4,2,2
random_seed_holdout,snv_lr,4,3,0
random_seed_holdout,snv_lr,4,4,41
random_seed_holdout,snv_lr,4,5,0
random_seed_holdout,snv_lr,4,6,0
random_seed_holdout,snv_lr,4,7,0
random_seed_holdout,snv_lr,5,0,0
random_seed_holdout,snv_lr,5,1,0
random_seed_holdout,snv_lr,5,2,0
random_seed_holdout,snv_lr,5,3,0
random_seed_holdout,snv_lr,5,4,0
random_seed_holdout,snv_lr,5,5,39
random_seed_holdout,snv_lr,5,6,0
random_seed_holdout,snv_lr,5,7,1
random_seed_holdout,snv_lr,6,0,0
random_seed_holdout,snv_lr,6,1,0
random_seed_holdout,snv_lr,6,2,0
random_seed_holdout,snv_lr,6,3,0
random_seed_holdout,snv_lr,6,4,0
random_seed_holdout,snv_lr,6,5,1
random_seed_holdout,snv_lr,6,6,39
random_seed_holdout,snv_lr,6,7,0
random_seed_holdout,snv_lr,7,0,0
random_seed_holdout,snv_lr,7,1,0
random_seed_holdout,snv_lr,7,2,0
random_seed_holdout,snv_lr,7,3,0
random_seed_holdout,snv_lr,7,4,0
random_seed_holdout,snv_lr,7,5,0
random_seed_holdout,snv_lr,7,6,0
random_seed_holdout,snv_lr,7,7,33
random_seed_holdout,msc_lr,0,0,40
random_seed_holdout,msc_lr,0,1,0
random_seed_holdout,msc_lr,0,2,0
random_seed_holdout,msc_lr,0,3,0
random_seed_holdout,msc_lr,0,4,0
random_seed_holdout,msc_lr,0,5,0
random_seed_holdout,msc_lr,0,6,0
random_seed_holdout,msc_lr,0,7,0
random_seed_holdout,msc_lr,1,0,0
random_seed_holdout,msc_lr,1,1,37
random_seed_holdout,msc_lr,1,2,1
random_seed_holdout,msc_lr,1,3,0
random_seed_holdout,msc_lr,1,4,0
random_seed_holdout,msc_lr,1,5,0
random_seed_holdout,msc_lr,1,6,2
random_seed_holdout,msc_lr,1,7,0
random_seed_holdout,msc_lr,2,0,0
random_seed_holdout,msc_lr,2,1,0
random_seed_holdout,msc_lr,2,2,35
random_seed_holdout,msc_lr,2,3,0
random_seed_holdout,msc_lr,2,4,5
random_seed_holdout,msc_lr,2,5,0
random_seed_holdout,msc_lr,2,6,0
random_seed_holdout,msc_lr,2,7,0
random_seed_holdout,msc_lr,3,0,0
random_seed_holdout,msc_lr,3,1,0
random_seed_holdout,msc_lr,3,2,0
random_seed_holdout,msc_lr,3,3,40
random_seed_holdout,msc_lr,3,4,0
random_seed_holdout,msc_lr,3,5,0
random_seed_holdout,msc_lr,3,6,0
random_seed_holdout,msc_lr,3,7,0
random_seed_holdout,msc_lr,4,0,0
random_seed_holdout,msc_lr,4,1,0
random_seed_holdout,msc_lr,4,2,5
random_seed_holdout,msc_lr,4,3,0
random_seed_holdout,msc_lr,4,4,38
random_seed_holdout,msc_lr,4,5,0
random_seed_holdout,msc_lr,4,6,0
random_seed_holdout,msc_lr,4,7,0
random_seed_holdout,msc_lr,5,0,0
random_seed_holdout,msc_lr,5,1,0
random_seed_holdout,msc_lr,5,2,0
random_seed_holdout,msc_lr,5,3,0
random_seed_holdout,msc_lr,5,4,0
random_seed_holdout,msc_lr,5,5,38
