direction,model,condition,calibration,seed_42_balanced_accuracy,seed_2024_balanced_accuracy,seed_2025_balanced_accuracy,seed_mean_balanced_accuracy,seed_sd_balanced_accuracy,ensemble_accuracy,ensemble_balanced_accuracy,ensemble_macro_f1,ensemble_nll,ensemble_brier,ensemble_ece_10
suffix_1_to_2,fusion_net,mean_broadcast,raw,0.2815972222222222,0.2987268518518519,0.42378472222222224,0.3347029320987654,0.07762106705986317,0.3925081433224756,0.41041666666666665,0.36495626333778386,1.70644537230018,0.7601856123244909,0.07889809814675479
suffix_1_to_2,fusion_net,mask_only,raw,0.2800347222222222,0.2987268518518519,0.2126736111111111,0.2638117283950618,0.04526233762227749,0.20358306188925082,0.2306712962962963,0.14609236844818485,1.9873790489263872,0.8558763893442333,0.11965593424574945
suffix_2_to_1,snv_lr,full,raw,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8892307692307693,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,spatial_shuffle,raw,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8892307692307693,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,mean_broadcast,raw,0.8909722222222223,0.8836805555555556,0.8732638888888888,0.8826388888888889,0.008900003901372482,0.8892307692307693,0.8881944444444445,0.8861095259392188,0.35201238854802636,0.16751948028810706,0.036590813100758963
suffix_2_to_1,snv_lr,mask_only,raw,0.125,0.125,0.125,0.125,0.0,0.13846153846153847,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1,spectral_only,full,raw,0.1234375,0.125,0.3579861111111111,0.2021412037037037,0.13496790998300315,0.3646153846153846,0.36440972222222223,0.3014454541268975,1.8576932573483917,0.8122825807225377,0.18476792063214278
suffix_2_to_1,spectral_only,spatial_shuffle,raw,0.1234375,0.125,0.3579861111111111,0.2021412037037037,0.13496790998300315,0.3646153846153846,0.36440972222222223,0.3014454541268975,1.8576932573483917,0.8122825807225377,0.18476792063214278
suffix_2_to_1,spectral_only,mean_broadcast,raw,0.1234375,0.125,0.3579861111111111,0.2021412037037037,0.13496790998300315,0.3646153846153846,0.36440972222222223,0.3014454541268975,1.8576932573483917,0.8122825807225377,0.18476792063214278
suffix_2_to_1,spectral_only,mask_only,raw,0.125,0.125,0.125,0.125,0.0,0.12307692307692308,0.125,0.027397260273972605,2.1487259461294257,0.8978912187240943,0.1322917757090712
suffix_2_to_1,fusion_net,full,raw,0.4189236111111111,0.41857638888888893,0.44687499999999997,0.42812500000000003,0.016238904390934148,0.4676923076923077,0.4684027777777778,0.4596492962858142,1.3919636483304423,0.6634168072890316,0.05931494921369033
suffix_2_to_1,fusion_net,spatial_shuffle,raw,0.19392361111111112,0.1708333333333333,0.24427083333333333,0.20300925925925925,0.03755234151509678,0.2323076923076923,0.22795138888888888,0.18095204605557255,2.519714124076374,0.9280079537156446,0.17556317065410085
suffix_2_to_1,fusion_net,mean_broadcast,raw,0.19739583333333333,0.17864583333333334,0.24357638888888888,0.20653935185185182,0.033417019755839085,0.22923076923076924,0.22569444444444442,0.17735772166313832,2.569875735700018,0.9317545566282587,0.19466640371421665
suffix_2_to_1,fusion_net,mask_only,raw,0.19357638888888887,0.1782986111111111,0.14878472222222222,0.17355324074074074,0.022769766262709764,0.21076923076923076,0.2046875,0.14107191929191876,2.7526402556519076,0.9615963865879933,0.2150584909185136
suffix_1_to_2,snv_lr,full,temperature_scaled,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8420195439739414,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
suffix_1_to_2,snv_lr,spatial_shuffle,temperature_scaled,0.8476851851851852,0.8351851851851853,0.8383101851851852,0.8403935185185185,0.006505206248331651,0.8420195439739414,0.8476851851851852,0.8370047553860697,0.5876658152054627,0.2450209928536974,0.043607771797253586
